"no","risk","name","building","address","lat","lon","naver_url","review_note","override_lat","override_lon","override_note"
"61","school","운남동제8투","금구초등학교(1층, 라온누리실)","광주광역시 광산구 임방울대로165번길 60 (운남동)","35.1769697","126.8140609","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%9E%84%EB%B0%A9%EC%9A%B8%EB%8C%80%EB%A1%9C165%EB%B2%88%EA%B8%B8%2060%20%28%EC%9A%B4%EB%82%A8%EB%8F%99%29","","35.1765434","126.8139373","금구초등학교 49m"
"62","lower","신창동제1투","반촌마을 경로당(1층)","광주광역시 광산구 구촌반촌길 231 (신창동)","35.1907415","126.849562","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EA%B5%AC%EC%B4%8C%EB%B0%98%EC%B4%8C%EA%B8%B8%20231%20%28%EC%8B%A0%EC%B0%BD%EB%8F%99%29","","","",""
"63","school","신창동제2투","신가중학교(1층, 체육실)","광주광역시 광산구 신창로 26 (신창동)","35.1876841","126.8378471","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%8B%A0%EC%B0%BD%EB%A1%9C%2026%20%28%EC%8B%A0%EC%B0%BD%EB%8F%99%29","","","",""
"64","school","신창동제3투","수문초등학교(1층, 1-4반)","광주광역시 광산구 신창로105번길 9 (신창동)","35.1947421","126.8367861","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%8B%A0%EC%B0%BD%EB%A1%9C105%EB%B2%88%EA%B8%B8%209%20%28%EC%8B%A0%EC%B0%BD%EB%8F%99%29","","35.1942934","126.8369434","수문초등학교 52m"
"65","school","신창동제4투","신창초등학교(1층, 1-4반)","광주광역시 광산구 신창로162번길 10 (신창동)","35.197879","126.8408317","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%8B%A0%EC%B0%BD%EB%A1%9C162%EB%B2%88%EA%B8%B8%2010%20%28%EC%8B%A0%EC%B0%BD%EB%8F%99%29","","","",""
"66","school","신창동제5투","신창중학교(1층, 중앙현관)","광주광역시 광산구 왕버들로290번길 40 (신창동)","35.1938601","126.8390228","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%99%95%EB%B2%84%EB%93%A4%EB%A1%9C290%EB%B2%88%EA%B8%B8%2040%20%28%EC%8B%A0%EC%B0%BD%EB%8F%99%29","","","",""
"67","large-site","신창동제6투","호반5차아파트 경로당(1층)","광주광역시 광산구 왕버들로251번길 27 (신창동, 호반5차아파트)","35.1981906","126.8364256","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%99%95%EB%B2%84%EB%93%A4%EB%A1%9C251%EB%B2%88%EA%B8%B8%2027%20%28%EC%8B%A0%EC%B0%BD%EB%8F%99%2C%20%ED%98%B8%EB%B0%985%EC%B0%A8%EC%95%84%ED%8C%8C%ED%8A%B8%29","","","",""
"68","school","신창동제7투","수문초등학교(1층, 1-3반)","광주광역시 광산구 신창로105번길 9 (신창동)","35.1947421","126.8367861","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%8B%A0%EC%B0%BD%EB%A1%9C105%EB%B2%88%EA%B8%B8%209%20%28%EC%8B%A0%EC%B0%BD%EB%8F%99%29","","35.1942934","126.8369434","수문초등학교 52m"
"69","large-site","수완동제1투","수완중흥s클래스아파트1단지 (지하1층,주민회관 요가실)","광주광역시 광산구 수등로76번길 74 (신가동, 중흥S클래스1차아파트)","35.1814886","126.815283","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%88%98%EB%93%B1%EB%A1%9C76%EB%B2%88%EA%B8%B8%2074%20%28%EC%8B%A0%EA%B0%80%EB%8F%99%2C%20%EC%A4%91%ED%9D%A5S%ED%81%B4%EB%9E%98%EC%8A%A41%EC%B0%A8%EC%95%84%ED%8C%8C%ED%8A%B8%29","","","",""
"70","school","수완동제2투","큰별초등학교(1층, 현관 로비)","광주광역시 광산구 수등로 115 (신가동)","35.1833882","126.8219042","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%88%98%EB%93%B1%EB%A1%9C%20115%20%28%EC%8B%A0%EA%B0%80%EB%8F%99%29","","","",""
"71","school","수완동제3투","수완중학교(1층, 현관)","광주광역시 광산구 수완로 19 (수완동)","35.1868603","126.8277241","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%88%98%EC%99%84%EB%A1%9C%2019%20%28%EC%88%98%EC%99%84%EB%8F%99%29","","","",""
"72","school","수완동제4투","장덕중학교(1층, 현관 로비)","광주광역시 광산구 수등로 11 (장덕동)","35.1862538","126.8111184","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%88%98%EB%93%B1%EB%A1%9C%2011%20%28%EC%9E%A5%EB%8D%95%EB%8F%99%29","","","",""
"73","school","수완동제5투","장덕초등학교(1층, 현관 로비)","광주광역시 광산구 수등로 27 (장덕동)","35.1862807","126.8131809","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%88%98%EB%93%B1%EB%A1%9C%2027%20%28%EC%9E%A5%EB%8D%95%EB%8F%99%29","","35.1859827","126.8132364","장덕초등학교 34m"
